section,template,short_headline,headline,topic,blurb,article_url,image_or_video_poster_url,video_url,faces_individual_image_url,faces_individual_article_link
Campus-Updates,,,Curry Student Center,,,http://www.northeastern.edu/news/2016/07/campus-construction-update-curry-student-center/,http://www.northeastern.edu/news/wp-content/uploads/2016/07/CSC_InfoDesk01_1400x933.jpg,,,
Campus-Updates,,,Public Art Initiative,,,http://www.northeastern.edu/news/2016/10/new-campus-mural-celebrates-community/,http://www.northeastern.edu/news/wp-content/uploads/2016/10/Mural_031.jpg,,,
,,,,,,,,,,
Exploring-the-World,,,Iceland’s music scene in focus on global co-op,,,http://www.northeastern.edu/news/2016/08/a-monster-look-at-one-students-global-co-op-in-icelands-music-scene/,http://www.northeastern.edu/news/wp-content/uploads/2016/08/MadiMurphy.jpg,,,
Exploring-the-World,,,Schwarzman Scholar is bound for China,,,http://www.northeastern.edu/news/2016/12/northeastern-senior-named-schwarzman-scholar/,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Seibert.jpg,,,
Exploring-the-World,,,Seniors honored for co-​​op accomplishments,,,http://www.northeastern.edu/news/2016/05/seniors-honored-for-co-op-accomplishments/,http://www.northeastern.edu/news/wp-content/uploads/2016/05/GetFileAttachment-1.png,,,
Exploring-the-World,,,Award-​​winning Rio Olympics coverage in Brazil,,,http://www.northeastern.edu/news/2016/11/students-reporting-part-of-award-winning-rio-olympics-coverage-on-evictions/,http://www.northeastern.edu/news/wp-content/uploads/2016/11/Giulia.jpg,,,
,,,,,,,,,,
Global-News-Stories,,,Trump’s victory ‘one of the biggest political upsets in history’,,,http://www.northeastern.edu/news/2016/11/trumps-victory-one-of-the-biggest-political-upsets-in-history/,http://www.northeastern.edu/news/wp-content/uploads/2016/11/5440388253_7a8e8c1584_b.jpg,,,
Global-News-Stories,,,"Faculty, staff reflect on Muhammad Ali and his Northeastern ties",,,http://www.northeastern.edu/news/2016/06/faculty-staff-reflect-on-muhammad-ali-and-his-northeastern-ties/,http://www.northeastern.edu/news/wp-content/uploads/2016/06/MuhammadAli.jpeg,,,
Global-News-Stories,,,Fidel Castro’s legacy and what’s next for Cuba,,,http://www.northeastern.edu/news/2016/11/fidel-castros-death-his-legacy-and-what-is-next-for-us-cuban-relations/,http://www.northeastern.edu/news/wp-content/uploads/2016/11/9609361_053404a0f7_b.jpg,,,
Global-News-Stories,,,Life after Brexit,,,http://www.northeastern.edu/news/2016/06/3qs-life-after-brexit/,http://www.northeastern.edu/news/wp-content/uploads/2016/06/brexit_puzzle.jpg,,,
,,,,,,,,,,
Faces,faces,,,,,http://www.northeastern.edu/news/blog/faces/,,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Thumb_D3A0190.jpg,http://www.northeastern.edu/news/2016/12/patrick-liang/
Faces,faces,,,,,,,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Featured_D3A0239-709x1066.jpg,http://www.northeastern.edu/news/2016/12/desmond-emmanuel/
Faces,faces,,,,,,,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/Featured_D3A0252-709x1066.jpg,http://www.northeastern.edu/news/2016/12/meghana-bantwal/
Faces,faces,,,,,,,,http://www.northeastern.edu/news/wp-content/uploads/2016/11/Featured_D3A8533-709x1066.jpg,http://www.northeastern.edu/news/2016/11/elena-sullivan/
Faces,faces,,,,,,,,http://www.northeastern.edu/news/wp-content/uploads/2016/10/Featured_D3A5008-709x1066.jpg,http://www.northeastern.edu/news/2016/10/glenn-lindsey/
Faces,faces,,,,,,,,http://www.northeastern.edu/news/wp-content/uploads/2016/10/Featured_D3A5083A-709x1066.jpg,http://www.northeastern.edu/news/2016/10/kev-lipert/
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Best-Photos,image-gallery,,Trump Elected,,Photo by Matthew Modoono/​Northeastern University,,http://www.northeastern.edu/news/wp-content/uploads/2016/12/trump_1400.jpg,,,
Best-Photos,image-gallery,,Marijuana legal in Mass,,Photo by Matthew Modoono/​Northeastern University,,http://www.northeastern.edu/news/wp-content/uploads/2016/11/pot1400.jpg,,,
Best-Photos,image-gallery,,Fidel Castro's Death,,Photo by Matthew Modoono/​Northeastern University,,http://www.northeastern.edu/news/wp-content/uploads/2016/11/9609361_053404a0f7_b.jpg,,,
,,,,,,,,,,
In-The-Press,,,"In new sorting of colleges, Dartmouth falls out of an exclusive group",The Washington Post,,https://www.washingtonpost.com/news/grade-point/wp/2016/02/04/in-new-sorting-of-colleges-dartmouth-falls-out-of-an-exclusive-group/?utm_term=.b3cee2555ad6,,,,
In-The-Press,,,A teenage who can’t speak finally sounds like himself,The Wall Street Journal,,http://www.wsj.com/articles/how-people-who-cant-speak-can-sound-like-themselves-1455592266,,,,
In-The-Press,,,Hybrid jobs call for hybrid education,Harvard Business Review,,https://hbr.org/2016/04/hybrid-jobs-call-for-hybrid-education,,,,
In-The-Press,,,John Kerry tells Northeastern grads they are Trump’s ‘worst nightmare’,The Wall Street Journal,,http://blogs.wsj.com/washwire/2016/05/06/john-kerry-tells-northeastern-grads-they-are-trumps-worst-nightmare/,,,,
In-The-Press,,,Northeastern to establish co-op programs in Cuba,The Boston Globe,,https://www.bostonglobe.com/metro/2016/05/13/northeastern-establish-programs-cuba/5oW3ztwCrbWfAQaU2NmNuL/story.html,,,,
In-The-Press,,,Northeastern University’s workforce training could be roadmap for improving internships,The Washington Post,,https://www.washingtonpost.com/news/grade-point/wp/2016/05/14/northeastern-universitys-workforce-training-could-be-a-roadmap-for-improving-internships/?utm_term=.20b5f939fef2,,,,
In-The-Press,,,NASA's Valkyrie robots set the table for human life on Mars,The Associated Press,,http://bigstory.ap.org/article/f380de0aae47470f84cc0904e60a9400/nasas-valkyrie-robots-set-table-human-life-mars,,,,
In-The-Press,,,The woeful TSA doesn’t need more staff. It needs this tech,WIRED,,https://www.wired.com/2016/05/forget-extra-staffers-fix-tsa-technologies/,,,,
In-The-Press,,,Algorithmic pricing is creating an arms race on Amazon’s marketplace,Fast Company,,https://www.fastcoexist.com/3060803/algorithmic-pricing-is-creating-an-arms-race-on-amazons-marketplace,,,,
In-The-Press,,,"Zika moves quickly, and scientists fear that journals aren’t keeping pace",The Chronicle of Higher Education,,http://www.chronicle.com/article/Zika-Moves-Quickly-and/237419,,,,
In-The-Press,,,"Northeastern, GE partner on accelerated manufacturing degree program",The Boston Globe,,https://www.bostonglobe.com/metro/2016/08/16/northeastern-partner-create-accelerated-manufacturing-degree/SyFu2kflRKb3nglJ6f2qUO/story.html,,,,
In-The-Press,,,A lynching kept out of sight,The Washington Post,,http://www.washingtonpost.com/sf/national/2016/09/02/the-story-of-the-only-known-lynching-on-a-u-s-military-base/,,,,
In-The-Press,,,Robotic mussels track rising temperatures for climate research,The New York Times,,http://www.nytimes.com/2016/10/18/science/robotic-mussels-climate-change.html?_r=0,,,,
In-The-Press,,,Higher education for the AI age: Let’s think about it before the machines do it for us,,,https://www.washingtonpost.com/news/grade-point/wp/2016/10/27/higher-education-for-the-ai-age-lets-think-about-it-before-the-machines-do-it-for-us/?utm_term=.dd520164b4a5,,,,
In-The-Press,,,"When it comes to success, age really is just a number",The New York Times,,http://www.nytimes.com/2016/11/04/science/stem-careers-success-achievement.html,,,,
